Sundlaug;Teg_gjald;Timabil;Fjoldi;Y
Arbaejarlaug;Born_st;Jan-Oct-2015;18210;
Arbaejarlaug;Born_0_6;Jan-Oct-2015;8647;
Arbaejarlaug;Fullordnir_stok;Jan-Oct-2015;30875;
Arbaejarlaug;Fullordnir_afslattur_10;Jan-Oct-2015;18701;
Arbaejarlaug;Born_afslattur_10;Jan-Oct-2015;0;
Arbaejarlaug;Fullordnir_arskort;Jan-Oct-2015;25825;
Arbaejarlaug;Born_arskort;Jan-Oct-2015;175;
Arbaejarlaug;Fullordnir_6man;Jan-Oct-2015;4564;
Arbaejarlaug;Born_6man;Jan-Oct-2015;26;
Arbaejarlaug;Fullordnir_afslattur_20;Jan-Oct-2015;17587;
Breidholtslaug;Born_st;Jan-Oct-2015;9951;
Breidholtslaug;Born_0_6;Jan-Oct-2015;6390;
Breidholtslaug;Fullordnir_stok;Jan-Oct-2015;12091;
Breidholtslaug;Fullordnir_afslattur_10;Jan-Oct-2015;11609;
Breidholtslaug;Born_afslattur_10;Jan-Oct-2015;0;
Breidholtslaug;Fullordnir_arskort;Jan-Oct-2015;18261;
Breidholtslaug;Born_arskort;Jan-Oct-2015;159;
Breidholtslaug;Fullordnir_6man;Jan-Oct-2015;4337;
Breidholtslaug;Born_6man;Jan-Oct-2015;27;
Breidholtslaug;Fullordnir_afslattur_20;Jan-Oct-2015;10530;
Laugardalslaug;Born_st;Jan-Oct-2015;57838;
Laugardalslaug;Born_0_6;Jan-Oct-2015;7333;
Laugardalslaug;Fullordnir_stok;Jan-Oct-2015;119597;
Laugardalslaug;Fullordnir_afslattur_10;Jan-Oct-2015;40522;
Laugardalslaug;Born_afslattur_10;Jan-Oct-2015;0;
Laugardalslaug;Fullordnir_arskort;Jan-Oct-2015;42216;
Laugardalslaug;Born_arskort;Jan-Oct-2015;117;
Laugardalslaug;Fullordnir_6man;Jan-Oct-2015;12501;
Laugardalslaug;Born_6man;Jan-Oct-2015;71;
Laugardalslaug;Fullordnir_afslattur_20;Jan-Oct-2015;34533;
Arbaejarlaug;Born_st;Nov-2016-Aug-2016;16107;
Arbaejarlaug;Born_0_6;Nov-2016-Aug-2016;7029;
Arbaejarlaug;Fullordnir_stok;Nov-2016-Aug-2016;20938;
Arbaejarlaug;Fullordnir_afslattur_10;Nov-2016-Aug-2016;24538;
Arbaejarlaug;Born_afslattur_10;Nov-2016-Aug-2016;0;
Arbaejarlaug;Fullordnir_arskort;Nov-2016-Aug-2016;27257;
Arbaejarlaug;Born_arskort;Nov-2016-Aug-2016;232;
Arbaejarlaug;Fullordnir_6man;Nov-2016-Aug-2016;3562;
Arbaejarlaug;Born_6man;Nov-2016-Aug-2016;29;
Arbaejarlaug;Fullordnir_afslattur_20;Nov-2016-Aug-2016;19987;
Breidholtslaug;Born_st;Nov-2016-Aug-2016;8444;
Breidholtslaug;Born_0_6;Nov-2016-Aug-2016;6457;
Breidholtslaug;Fullordnir_stok;Nov-2016-Aug-2016;7812;
Breidholtslaug;Fullordnir_afslattur_10;Nov-2016-Aug-2016;14136;
Breidholtslaug;Born_afslattur_10;Nov-2016-Aug-2016;1;
Breidholtslaug;Fullordnir_arskort;Nov-2016-Aug-2016;17755;
Breidholtslaug;Born_arskort;Nov-2016-Aug-2016;354;
Breidholtslaug;Fullordnir_6man;Nov-2016-Aug-2016;3890;
Breidholtslaug;Born_6man;Nov-2016-Aug-2016;44;
Breidholtslaug;Fullordnir_afslattur_20;Nov-2016-Aug-2016;12149;
Laugardalslaug;Born_st;Nov-2016-Aug-2016;58265;
Laugardalslaug;Born_0_6;Nov-2016-Aug-2016;4085;
Laugardalslaug;Fullordnir_stok;Nov-2016-Aug-2016;104287;
Laugardalslaug;Fullordnir_afslattur_10;Nov-2016-Aug-2016;51884;
Laugardalslaug;Born_afslattur_10;Nov-2016-Aug-2016;0;
Laugardalslaug;Fullordnir_arskort;Nov-2016-Aug-2016;43319;
Laugardalslaug;Born_arskort;Nov-2016-Aug-2016;131;
Laugardalslaug;Fullordnir_6man;Nov-2016-Aug-2016;13474;
Laugardalslaug;Born_6man;Nov-2016-Aug-2016;40;
Laugardalslaug;Fullordnir_afslattur_20;Nov-2016-Aug-2016;40624;
