Sundlaug;Teg_gjald;Timabil;Fjoldi_fyrir;Fjoldi_eftir;Y
Arbaejarlaug;Born_st;Jan-Oct-2015;18210;16107;0
Arbaejarlaug;Born_0_6;Jan-Oct-2015;8647;7029;0
Arbaejarlaug;Fullordnir_stok;Jan-Oct-2015;30875;20938;0
Arbaejarlaug;Fullordnir_afslattur_10;Jan-Oct-2015;18701;24538;1
Arbaejarlaug;Born_afslattur_10;Jan-Oct-2015;0;0;NA
Arbaejarlaug;Fullordnir_arskort;Jan-Oct-2015;25825;27257;1
Arbaejarlaug;Born_arskort;Jan-Oct-2015;175;232;1
Arbaejarlaug;Fullordnir_6man;Jan-Oct-2015;4564;3562;0
Arbaejarlaug;Born_6man;Jan-Oct-2015;26;29;1
Arbaejarlaug;Fullordnir_afslattur_20;Jan-Oct-2015;17587;19987;1
Breidholtslaug;Born_st;Jan-Oct-2015;9951;8444;0
Breidholtslaug;Born_0_6;Jan-Oct-2015;6390;6457;1
Breidholtslaug;Fullordnir_stok;Jan-Oct-2015;12091;7812;0
Breidholtslaug;Fullordnir_afslattur_10;Jan-Oct-2015;11609;14136;1
Breidholtslaug;Born_afslattur_10;Jan-Oct-2015;0;1;1
Breidholtslaug;Fullordnir_arskort;Jan-Oct-2015;18261;17755;0
Breidholtslaug;Born_arskort;Jan-Oct-2015;159;354;1
Breidholtslaug;Fullordnir_6man;Jan-Oct-2015;4337;3890;0
Breidholtslaug;Born_6man;Jan-Oct-2015;27;44;1
Breidholtslaug;Fullordnir_afslattur_20;Jan-Oct-2015;10530;12149;1
Laugardalslaug;Born_st;Jan-Oct-2015;57838;58265;1
Laugardalslaug;Born_0_6;Jan-Oct-2015;7333;4085;0
Laugardalslaug;Fullordnir_stok;Jan-Oct-2015;119597;104287;0
Laugardalslaug;Fullordnir_afslattur_10;Jan-Oct-2015;40522;51884;1
Laugardalslaug;Born_afslattur_10;Jan-Oct-2015;0;0;NA
Laugardalslaug;Fullordnir_arskort;Jan-Oct-2015;42216;43319;1
Laugardalslaug;Born_arskort;Jan-Oct-2015;117;131;1
Laugardalslaug;Fullordnir_6man;Jan-Oct-2015;12501;13474;1
Laugardalslaug;Born_6man;Jan-Oct-2015;71;40;0
Laugardalslaug;Fullordnir_afslattur_20;Jan-Oct-2015;34533;40624;1
