Sundlaug;Teg_gjald;Jan_2015;Feb_2015;Mars_2015;Apr_2015;Mai_2015;Jun_2015;Jul_2015;Aug_2015;Sept_2015;Oct_2015;Nov_2015;Des_2015;Jan_2016;Feb_2016;Mars_2016;Apr_2016;Mai_2016;Jun_2016;Jul_2016;Aug_2016;
Arbaejarlaug;Born_st;942;882;1.638;2.432;2.291;2.238;3.026;2.474;1.159;1.128;816;787;1.048;980;1.851;1.696;1.668;1.503;3.057;2.701;
Arbaejarlaug;Born_0_6;456;440;652;1.263;1.336;819;1.325;1.047;707;602;504;331;557;520;922;878;905;465;1.086;861;
Arbaejarlaug;Fullordnir_stok;1.933;1.725;2.627;3.636;4.041;3.550;5.199;4.010;2.213;1.941;1.162;1.091;1.299;1.403;2.128;2.038;2.268;2.082;4.123;3.344;
Arbaejarlaug;Fullordnir_afslattur_10;1449 ;1236;1764;2123;2296;1871;2622;2229;1509;1602;1573;1491;1.926;1.716;2.542;2.723;2.793;2164;4088;3522;
Arbaejarlaug;Born_afslattur_10;0 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arbaejarlaug;Fullordnir_arskort;2581 ;2290;2669;2833;2784;2012;2608;2823;2556;2669;2735;2500;2.803;2.647;2.951;3.003;2.849;2072;2521;3176;
Arbaejarlaug;Born_arskort;22 ;17;27;29;28;8;12;15;3;14;12;15;22;14;32;8;23;26;51;29;
Arbaejarlaug;Fullordnir_6man;448 ;401;527;558;542;315;443;501;424;405;367;298;372;369;336;342;363;248;411;456;
Arbaejarlaug;Born_6man;1 ;0;1;3;6;9;6;0;0;0;0;1;0;0;0;5;7;2;7;7;
Arbaejarlaug;Fullordnir_afslattur_20;1558 ;1315;1636;1943;2172;1636;2119;1961;1516;1731;1544;1447;1.741;1.650;1.930;2.143;2.211;1765;2835;2721;
Breidholtslaug;Born_st;491;501;732;786;898;1.597;2.011;1.616;661;658;455;353;508;568;710;950;826;1.376;1.804;894;
Breidholtslaug;Born_0_6;350;258;434;480;735;871;1.397;964;501;400;321;226;384;326;493;743;671;832;1.481;980;
Breidholtslaug;Fullordnir_stok;750;682;1.009;1.128;1.300;1.622;2.100;1.705;1.011;784;517;408;588;494;668;910;834;1.020;1.553;820;
Breidholtslaug;Fullordnir_afslattur_10;1022;832;1029;1057;1076;1452;1657;1406;1050;1028;1030;735;1.192;1.164;1.405;1.663;1.502;1618;2415;1412;
Breidholtslaug;Born_afslattur_10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Breidholtslaug;Fullordnir_arskort;1908;1654;1920;1737;1655;1847;1797;1914;1881;1948;1804;1534;1.887;1.741;1.915;2.078;1.934;1832;1697;1333;
Breidholtslaug;Born_arskort;15;22;12;30;18;25;14;13;1;9;10;0;27;33;38;34;35;57;81;39;
Breidholtslaug;Fullordnir_6man;422;433;524;453;407;481;488;423;359;347;333;288;347;373;416;447;414;420;512;340;
Breidholtslaug;Born_6man;0;2;2;4;3;8;2;3;3;0;0;0;0;4;3;4;8;12;10;3;
Breidholtslaug;Fullordnir_afslattur_20;941;826;1035;958;923;1133;1415;1233;1051;1015;910;819;1.117;1.160;1.251;1.359;1.450;1406;1643;1034;
Laugardalslaug;Born_st;2.707;3.269;4.972;5.640;6.569;7.329;10.720;8.213;3.712;4.707;2.769;2.230;3.192;4.061;6.662;6.097;5.633;6.877;11.996;8.748;
Laugardalslaug;Born_0_6;300;254;475;739;1.097;867;1.675;919;483;524;240;243;271;226;358;403;414;458;803;669;
Laugardalslaug;Fullordnir_stok;7.753;6.967;9.226;10.068;12.931;14.957;19.750;19.195;10.218;8.532;6.020;5.050;8.196;7.365;9.454;8.485;9.947;12.584;18.983;18.203;
Laugardalslaug;Fullordnir_afslattur_10;3388 ;2929;3624;4037;5000;4458;5287;4911;3284;3604;3595;3406;4.812;4.087;5.091;5.690;5.551;5675;7653;6324;
Laugardalslaug;Born_afslattur_10;0 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Laugardalslaug;Fullordnir_arskort;4432 ;3806;4462;4098;4450;4110;3941;4459;4175;4283;4150;3539;4.595;4.111;4.483;4.799;4.532;4555;4114;4441;
Laugardalslaug;Born_arskort;5 ;4;7;5;14;8;19;32;13;10;11;9;13;13;15;11;11;11;21;16;
Laugardalslaug;Fullordnir_6man;1236 ;1133;1232;1249;1283;1214;1179;1340;1333;1302;1234;1033;1.352;1.212;1.357;1.492;1.415;1491;1474;1414;
Laugardalslaug;Born_6man;6 ;10;8;13;12;7;7;2;4;2;3;0;6;3;4;3;5;4;9;3;
Laugardalslaug;Fullordnir_afslattur_20;2787 ;2354;3114;3516;3941;3966;4218;4163;3129;3345;3131;2856;3.770;3.342;4.160;4.473;4.289;4541;5322;4740;
